Model,Mean_AUC_ratio,pval_pROC,Omission_rate_at_5%,AICc,delta_AICc,W_AICc,num_parameters
M_0.6_F_lq_Set_1,1.808084131,0,0.095238095,2703.699294,23.71580469,8.77E-09,28
M_0.6_F_lq_Set_2,1.766581009,0,0.095238095,2683.717363,3.733873033,0.000191701,16
M_0.6_F_lq_Set_3,1.717806541,0,0.090909091,2793.354834,113.3713442,2.99E-28,19
M_0.6_F_lp_Set_1,1.784159857,0,0.095238095,3062.52613,382.5426403,1.06E-86,78
M_0.6_F_lp_Set_2,1.754153107,0,0.142857143,2744.442886,64.45939646,1.25E-17,36
M_0.6_F_lp_Set_3,1.715125066,0,0.045454545,2839.89076,159.9072702,2.36E-38,40
M_0.6_F_lt_Set_1,1.831768512,0,0.571428571,NA,NA,NA,144
M_0.6_F_lt_Set_2,1.802610414,0,0.238095238,3426.273761,746.2902707,1.10E-165,101
M_0.6_F_lt_Set_3,1.778640839,0,0.318181818,3554.348388,874.3648984,1.70E-193,101
M_0.6_F_lh_Set_1,1.778220366,0,0.047619048,3141.524778,461.5412884,7.50E-104,88
M_0.6_F_lh_Set_2,1.752053414,0,0.047619048,2841.785684,161.8021939,9.18E-39,61
M_0.6_F_lh_Set_3,1.743921179,0,0.136363636,2951.302954,271.3194645,1.52E-62,62
M_0.6_F_qp_Set_1,1.767776842,0,0.095238095,3032.716213,352.7327233,3.19E-80,78
M_0.6_F_qp_Set_2,1.76277678,0,0.142857143,2756.934702,76.95121195,2.45E-20,43
M_0.6_F_qp_Set_3,1.704202701,0,0.045454545,2814.305733,134.3222431,8.56E-33,35
M_0.6_F_qt_Set_1,1.829510709,0,0.571428571,NA,NA,NA,144
M_0.6_F_qt_Set_2,1.784778498,0,0.238095238,3385.733891,705.7504013,7.06E-157,100
M_0.6_F_qt_Set_3,1.769925246,0,0.318181818,3878.664846,1198.681357,6.47E-264,107
M_0.6_F_qh_Set_1,1.78898392,0,0.047619048,3009.842043,329.8585535,2.98E-75,80
M_0.6_F_qh_Set_2,1.7308774,0,0.142857143,2833.185523,153.2020331,6.83E-37,59
M_0.6_F_qh_Set_3,1.748546183,0,0.136363636,2965.967749,285.9842595,1.00E-65,64
M_0.6_F_pt_Set_1,1.827687946,0,0.571428571,NA,NA,NA,151
M_0.6_F_pt_Set_2,1.788669903,0,0.285714286,3750.620967,1070.637477,4.14E-236,107
M_0.6_F_pt_Set_3,1.782566577,0,0.318181818,3470.326809,790.3433195,3.04E-175,99
M_0.6_F_ph_Set_1,1.789399922,0,0.047619048,3653.730876,973.7473865,4.55E-215,104
M_0.6_F_ph_Set_2,1.757761913,0,0.19047619,2952.323539,272.3400491,9.27E-63,74
M_0.6_F_ph_Set_3,1.752072675,0,0.136363636,3060.197688,380.2141986,3.49E-86,75
M_0.6_F_th_Set_1,1.810263131,0,0.571428571,NA,NA,NA,147
M_0.6_F_th_Set_2,1.780381541,0,0.285714286,3469.624083,789.6405934,4.34E-175,102
M_0.6_F_th_Set_3,1.783884603,0,0.318181818,3595.196679,915.2131889,2.35E-202,102
M_0.6_F_lqp_Set_1,1.7691799,0,0.142857143,3117.349583,437.3660928,1.36E-98,85
M_0.6_F_lqp_Set_2,1.764911054,0,0.142857143,2748.2014,68.21791026,1.97E-18,41
M_0.6_F_lqp_Set_3,1.700087647,0,0.045454545,2839.437134,159.4536444,3.04E-38,42
